"VIN (1-10)","County","City","State","Postal Code","Model Year","Make","Model","Electric Vehicle Type","Clean Alternative Fuel Vehicle (CAFV) Eligibility","Electric Range","DOL Vehicle ID","Electric Utility"
"PSE0000011","Snohomish","Everett","WA","98201","2018","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","231","100011","PUGET SOUND ENERGY"
"PSE0000012","King","Seattle","WA","98101","2018","NISSAN","LEAF","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","40","100012","PUGET SOUND ENERGY"
"PSE0000013","Snohomish","Bellevue","WA","98004","2018","FORD","MUSTANG MACH-E","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","233","100013","PUGET SOUND ENERGY"
"PSE0000014","King","Everett","WA","98201","2018","KIA","EV6","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","234","100014","PUGET SOUND ENERGY"
"PSE0000015","Snohomish","Seattle","WA","98101","2018","CHEVROLET","VOLT","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","235","100015","PUGET SOUND ENERGY"
"PSE0000016","King","Bellevue","WA","98004","2018","TESLA","MODEL 3","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","44","100016","PUGET SOUND ENERGY"
"PSE0000017","Snohomish","Everett","WA","98201","2018","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","0","100017","PUGET SOUND ENERGY"
"PSE0000018","King","Seattle","WA","98101","2018","FORD","MUSTANG MACH-E","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","238","100018","PUGET SOUND ENERGY"
"PSE0000019","Snohomish","Bellevue","WA","98004","2018","KIA","EV6","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","239","100019","PUGET SOUND ENERGY"
"PSE0000020","King","Everett","WA","98201","2018","CHEVROLET","VOLT","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","48","100020","PUGET SOUND ENERGY"
"PSE0000021","Snohomish","Seattle","WA","98101","2018","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","241","100021","PUGET SOUND ENERGY"
"PSE0000022","King","Bellevue","WA","98004","2018","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","242","100022","PUGET SOUND ENERGY"
"PSE0000023","Snohomish","Everett","WA","98201","2018","FORD","MUSTANG MACH-E","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","243","100023","PUGET SOUND ENERGY"
"PSE0000024","King","Seattle","WA","98101","2018","KIA","EV6","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","52","100024","PUGET SOUND ENERGY"
"PSE0000025","Snohomish","Bellevue","WA","98004","2018","CHEVROLET","VOLT","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","245","100025","PUGET SOUND ENERGY"
"PSE0000026","King","Everett","WA","98201","2018","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","246","100026","PUGET SOUND ENERGY"
"PSE0000027","Snohomish","Seattle","WA","98101","2018","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","247","100027","PUGET SOUND ENERGY"
"PSE0000028","King","Bellevue","WA","98004","2018","FORD","MUSTANG MACH-E","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","31","100028","PUGET SOUND ENERGY"
"PSE0000029","Snohomish","Everett","WA","98201","2021","KIA","EV6","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","249","100029","PUGET SOUND ENERGY"
"PSE0000030","King","Seattle","WA","98101","2021","CHEVROLET","VOLT","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","250","100030","PUGET SOUND ENERGY"
"PSE0000031","Snohomish","Bellevue","WA","98004","2021","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","251","100031","PUGET SOUND ENERGY"
"PSE0000032","King","Everett","WA","98201","2021","NISSAN","LEAF","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","35","100032","PUGET SOUND ENERGY"
"PSE0000033","Snohomish","Seattle","WA","98101","2021","FORD","MUSTANG MACH-E","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","253","100033","PUGET SOUND ENERGY"
"PSE0000034","King","Bellevue","WA","98004","2021","KIA","EV6","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","0","100034","PUGET SOUND ENERGY"
"PSE0000035","Snohomish","Everett","WA","98201","2021","CHEVROLET","VOLT","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","255","100035","PUGET SOUND ENERGY"
"PSE0000036","King","Seattle","WA","98101","2021","TESLA","MODEL 3","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","39","100036","PUGET SOUND ENERGY"
"PSE0000037","Snohomish","Bellevue","WA","98004","2021","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","257","100037","PUGET SOUND ENERGY"
"PSE0000038","King","Everett","WA","98201","2021","FORD","MUSTANG MACH-E","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","258","100038","PUGET SOUND ENERGY"
"PSE0000039","Snohomish","Seattle","WA","98101","2021","KIA","EV6","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","259","100039","PUGET SOUND ENERGY"
"PSE0000040","King","Bellevue","WA","98004","2021","CHEVROLET","VOLT","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","43","100040","PUGET SOUND ENERGY"
"PSE0000041","Snohomish","Everett","WA","98201","2021","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","261","100041","PUGET SOUND ENERGY"
"PSE0000042","King","Seattle","WA","98101","2021","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","262","100042","PUGET SOUND ENERGY"
"PSE0000043","Snohomish","Bellevue","WA","98004","2021","FORD","MUSTANG MACH-E","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","263","100043","PUGET SOUND ENERGY"
"PSE0000044","King","Everett","WA","98201","2021","KIA","EV6","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","47","100044","PUGET SOUND ENERGY"
"PSE0000045","Snohomish","Seattle","WA","98101","2021","CHEVROLET","VOLT","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","265","100045","PUGET SOUND ENERGY"
"PSE0000046","King","Bellevue","WA","98004","2021","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","266","100046","PUGET SOUND ENERGY"
"PSE0000047","Snohomish","Everett","WA","98201","2021","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","267","100047","PUGET SOUND ENERGY"
"PSE0000048","King","Seattle","WA","98101","2021","FORD","MUSTANG MACH-E","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","51","100048","PUGET SOUND ENERGY"
"PSE0000049","Snohomish","Bellevue","WA","98004","2021","KIA","EV6","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","269","100049","PUGET SOUND ENERGY"
"PSE0000050","King","Everett","WA","98201","2021","CHEVROLET","VOLT","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","270","100050","PUGET SOUND ENERGY"
"PSE0000051","Snohomish","Seattle","WA","98101","2021","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","0","100051","PUGET SOUND ENERGY"
"PSE0000052","King","Bellevue","WA","98004","2021","NISSAN","LEAF","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","30","100052","PUGET SOUND ENERGY"
"PSE0000053","Snohomish","Everett","WA","98201","2021","FORD","MUSTANG MACH-E","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","273","100053","PUGET SOUND ENERGY"
"PSE0000054","King","Seattle","WA","98101","2021","KIA","EV6","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","274","100054","PUGET SOUND ENERGY"
"PSE0000055","Snohomish","Bellevue","WA","98004","2021","CHEVROLET","VOLT","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","275","100055","PUGET SOUND ENERGY"
"PSE0000056","King","Everett","WA","98201","2021","TESLA","MODEL 3","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","34","100056","PUGET SOUND ENERGY"
"PSE0000057","Snohomish","Seattle","WA","98101","2022","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","277","100057","PUGET SOUND ENERGY"
"PSE0000058","King","Bellevue","WA","98004","2022","FORD","MUSTANG MACH-E","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","278","100058","PUGET SOUND ENERGY"
"PSE0000059","Snohomish","Everett","WA","98201","2022","KIA","EV6","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","279","100059","PUGET SOUND ENERGY"
"PSE0000060","King","Seattle","WA","98101","2022","CHEVROLET","VOLT","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","38","100060","PUGET SOUND ENERGY"
"PSE0000061","Snohomish","Bellevue","WA","98004","2022","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","281","100061","PUGET SOUND ENERGY"
"PSE0000062","King","Everett","WA","98201","2022","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","282","100062","PUGET SOUND ENERGY"
"PSE0000063","Snohomish","Seattle","WA","98101","2022","FORD","MUSTANG MACH-E","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","283","100063","PUGET SOUND ENERGY"
"PSE0000064","King","Bellevue","WA","98004","2022","KIA","EV6","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","42","100064","PUGET SOUND ENERGY"
"PSE0000065","Snohomish","Everett","WA","98201","2022","CHEVROLET","VOLT","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","285","100065","PUGET SOUND ENERGY"
"PSE0000066","King","Seattle","WA","98101","2022","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","286","100066","PUGET SOUND ENERGY"
"PSE0000067","Snohomish","Bellevue","WA","98004","2022","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","287","100067","PUGET SOUND ENERGY"
"PSE0000068","King","Everett","WA","98201","2022","FORD","MUSTANG MACH-E","Plug-in Hybrid Electric Vehicle (PHEV)","Eligibility unknown as battery range has not been researched","0","100068","PUGET SOUND ENERGY"
"PSE0000069","Snohomish","Seattle","WA","98101","2022","KIA","EV6","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","289","100069","PUGET SOUND ENERGY"
"PSE0000070","King","Bellevue","WA","98004","2022","CHEVROLET","VOLT","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","220","100070","PUGET SOUND ENERGY"
"PSE0000071","Snohomish","Everett","WA","98201","2022","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","221","100071","PUGET SOUND ENERGY"
"PSE0000072","King","Seattle","WA","98101","2022","NISSAN","LEAF","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","50","100072","PUGET SOUND ENERGY"
"PSE0000073","Snohomish","Bellevue","WA","98004","2022","FORD","MUSTANG MACH-E","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","223","100073","PUGET SOUND ENERGY"
"PSE0000074","King","Everett","WA","98201","2022","KIA","EV6","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","224","100074","PUGET SOUND ENERGY"
"PSE0000075","Snohomish","Seattle","WA","98101","2022","CHEVROLET","VOLT","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","225","100075","PUGET SOUND ENERGY"
"PSE0000076","King","Bellevue","WA","98004","2022","TESLA","MODEL 3","Plug-in Hybrid Electric Vehicle (PHEV)","Eligibility unknown as battery range has not been researched","29","100076","PUGET SOUND ENERGY"
"PSE0000077","Snohomish","Everett","WA","98201","2022","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","227","100077","PUGET SOUND ENERGY"
"PSE0000078","King","Seattle","WA","98101","2022","FORD","MUSTANG MACH-E","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","228","100078","PUGET SOUND ENERGY"
"PSE0000079","Snohomish","Bellevue","WA","98004","2022","KIA","EV6","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","229","100079","PUGET SOUND ENERGY"
"PSE0000080","King","Everett","WA","98201","2022","CHEVROLET","VOLT","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","33","100080","PUGET SOUND ENERGY"
"PSE0000081","Snohomish","Seattle","WA","98101","2022","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","231","100081","PUGET SOUND ENERGY"
"PSE0000082","King","Bellevue","WA","98004","2022","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","232","100082","PUGET SOUND ENERGY"
"PSE0000083","Snohomish","Everett","WA","98201","2022","FORD","MUSTANG MACH-E","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","233","100083","PUGET SOUND ENERGY"
"PSE0000084","King","Seattle","WA","98101","2022","KIA","EV6","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","37","100084","PUGET SOUND ENERGY"
"PSE0000085","Snohomish","Bellevue","WA","98004","2024","CHEVROLET","VOLT","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","0","100085","PUGET SOUND ENERGY"
"PSE0000086","King","Everett","WA","98201","2024","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","236","100086","PUGET SOUND ENERGY"
"PSE0000087","Snohomish","Seattle","WA","98101","2024","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","237","100087","PUGET SOUND ENERGY"
"PSE0000088","King","Bellevue","WA","98004","2024","FORD","MUSTANG MACH-E","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","41","100088","PUGET SOUND ENERGY"
"PSE0000089","Snohomish","Everett","WA","98201","2024","KIA","EV6","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","239","100089","PUGET SOUND ENERGY"
"PSE0000090","King","Seattle","WA","98101","2024","CHEVROLET","VOLT","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","240","100090","PUGET SOUND ENERGY"
"PSE0000091","Snohomish","Bellevue","WA","98004","2024","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","241","100091","PUGET SOUND ENERGY"
"PSE0000092","King","Everett","WA","98201","2024","NISSAN","LEAF","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","45","100092","PUGET SOUND ENERGY"
"PSE0000093","Snohomish","Seattle","WA","98101","2024","FORD","MUSTANG MACH-E","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","243","100093","PUGET SOUND ENERGY"
"PSE0000094","King","Bellevue","WA","98004","2024","KIA","EV6","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","244","100094","PUGET SOUND ENERGY"
"PSE0000095","Snohomish","Everett","WA","98201","2024","CHEVROLET","VOLT","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","245","100095","PUGET SOUND ENERGY"
"PSE0000096","King","Seattle","WA","98101","2024","TESLA","MODEL 3","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","49","100096","PUGET SOUND ENERGY"
"PSE0000097","Snohomish","Bellevue","WA","98004","2024","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","247","100097","PUGET SOUND ENERGY"
"PSE0000098","King","Everett","WA","98201","2024","FORD","MUSTANG MACH-E","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","248","100098","PUGET SOUND ENERGY"
"PSE0000099","Snohomish","Seattle","WA","98101","2024","KIA","EV6","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","249","100099","PUGET SOUND ENERGY"
"PSE0000100","King","Bellevue","WA","98004","2024","CHEVROLET","VOLT","Plug-in Hybrid Electric Vehicle (PHEV)","Eligibility unknown as battery range has not been researched","28","100100","PUGET SOUND ENERGY"
"PSE0000101","Snohomish","Everett","WA","98201","2024","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","251","100101","PUGET SOUND ENERGY"
"PSE0000102","King","Seattle","WA","98101","2024","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","0","100102","PUGET SOUND ENERGY"
"PSE0000103","Snohomish","Bellevue","WA","98004","2024","FORD","MUSTANG MACH-E","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","253","100103","PUGET SOUND ENERGY"
"PSE0000104","King","Everett","WA","98201","2024","KIA","EV6","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","32","100104","PUGET SOUND ENERGY"
"PSE0000105","Snohomish","Seattle","WA","98101","2024","CHEVROLET","VOLT","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","255","100105","PUGET SOUND ENERGY"
"PSE0000106","King","Bellevue","WA","98004","2024","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","256","100106","PUGET SOUND ENERGY"
"PSE0000107","Snohomish","Everett","WA","98201","2024","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","257","100107","PUGET SOUND ENERGY"
"PSE0000108","King","Seattle","WA","98101","2024","FORD","MUSTANG MACH-E","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","36","100108","PUGET SOUND ENERGY"
"PSE0000109","Snohomish","Bellevue","WA","98004","2024","KIA","EV6","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","259","100109","PUGET SOUND ENERGY"
"PSE0000110","King","Everett","WA","98201","2024","CHEVROLET","VOLT","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","260","100110","PUGET SOUND ENERGY"
"PSE0000111","Snohomish","Seattle","WA","98101","2024","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","261","100111","PUGET SOUND ENERGY"
"PSE0000112","King","Bellevue","WA","98004","2024","NISSAN","LEAF","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","40","100112","PUGET SOUND ENERGY"
"SCL0000001","Thurston","Lacey","WA","98503","2017","TOYOTA","PRIUS PRIME","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","143","200001","CITY OF OLYMPIA - (WA)|PUGET SOUND ENERGY"
"SCL0000002","Thurston","Olympia","WA","98501","2017","BMW","I3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","146","200002","CITY OF OLYMPIA - (WA)|PUGET SOUND ENERGY"
"SCL0000003","Thurston","Lacey","WA","98503","2017","HYUNDAI","IONIQ 5","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","149","200003","CITY OF OLYMPIA - (WA)|PUGET SOUND ENERGY"
"SCL0000004","Thurston","Olympia","WA","98501","2017","TOYOTA","PRIUS PRIME","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","29","200004","CITY OF OLYMPIA - (WA)|PUGET SOUND ENERGY"
"SCL0000005","Thurston","Lacey","WA","98503","2017","BMW","I3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","155","200005","CITY OF OLYMPIA - (WA)|PUGET SOUND ENERGY"
"SCL0000006","Thurston","Olympia","WA","98501","2017","HYUNDAI","IONIQ 5","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","158","200006","CITY OF OLYMPIA - (WA)|PUGET SOUND ENERGY"
"SCL0000007","Thurston","Lacey","WA","98503","2020","TOYOTA","PRIUS PRIME","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","161","200007","CITY OF OLYMPIA - (WA)|PUGET SOUND ENERGY"
"SCL0000008","Thurston","Olympia","WA","98501","2020","BMW","I3","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","33","200008","CITY OF OLYMPIA - (WA)|PUGET SOUND ENERGY"
"SCL0000009","Thurston","Lacey","WA","98503","2020","HYUNDAI","IONIQ 5","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","167","200009","CITY OF OLYMPIA - (WA)|PUGET SOUND ENERGY"
"SCL0000010","Thurston","Olympia","WA","98501","2020","TOYOTA","PRIUS PRIME","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","170","200010","CITY OF OLYMPIA - (WA)|PUGET SOUND ENERGY"
"SCL0000011","Thurston","Lacey","WA","98503","2020","BMW","I3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","173","200011","CITY OF OLYMPIA - (WA)|PUGET SOUND ENERGY"
"SCL0000012","Thurston","Olympia","WA","98501","2020","HYUNDAI","IONIQ 5","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","37","200012","CITY OF OLYMPIA - (WA)|PUGET SOUND ENERGY"
"SCL0000013","Thurston","Lacey","WA","98503","2023","TOYOTA","PRIUS PRIME","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","179","200013","CITY OF OLYMPIA - (WA)|PUGET SOUND ENERGY"
"SCL0000014","Thurston","Olympia","WA","98501","2023","BMW","I3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","182","200014","CITY OF OLYMPIA - (WA)|PUGET SOUND ENERGY"
"SCL0000015","Thurston","Lacey","WA","98503","2023","HYUNDAI","IONIQ 5","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","185","200015","CITY OF OLYMPIA - (WA)|PUGET SOUND ENERGY"
"SCL0000016","Thurston","Olympia","WA","98501","2023","TOYOTA","PRIUS PRIME","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","41","200016","CITY OF OLYMPIA - (WA)|PUGET SOUND ENERGY"
"SCL0000017","Thurston","Lacey","WA","98503","2023","BMW","I3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","191","200017","CITY OF OLYMPIA - (WA)|PUGET SOUND ENERGY"
"SCL0000018","Thurston","Olympia","WA","98501","2023","HYUNDAI","IONIQ 5","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","194","200018","CITY OF OLYMPIA - (WA)|PUGET SOUND ENERGY"
"UNK0000001","Clark","Vancouver","WA","98660","2014","JEEP","WRANGLER 4XE","Plug-in Hybrid Electric Vehicle (PHEV)","Eligibility unknown as battery range has not been researched","21","300001",
"UNK0000002","Clark","Vancouver","WA","98660","2014","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","310","300002",
"UNK0000003","Clark","Vancouver","WA","98660","2014","JEEP","WRANGLER 4XE","Plug-in Hybrid Electric Vehicle (PHEV)","Eligibility unknown as battery range has not been researched","21","300003",
"UNK0000004","Clark","Vancouver","WA","98660","2014","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","310","300004",
"UNK0000005","Clark","Vancouver","WA","98660","2019","JEEP","WRANGLER 4XE","Plug-in Hybrid Electric Vehicle (PHEV)","Eligibility unknown as battery range has not been researched","21","300005",
"UNK0000006","Clark","Vancouver","WA","98660","2019","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","310","300006",
"UNK0000007","Clark","Vancouver","WA","98660","2019","JEEP","WRANGLER 4XE","Plug-in Hybrid Electric Vehicle (PHEV)","Eligibility unknown as battery range has not been researched","21","300007",
